Parametric Analysis Results
==============================

Pertubation of the Cost Vector:
----------------------------------
Scen.:   Lambda:   Obj.f:    Type Sol?     X(1):     X(2):     C(1):    C(2):
L01      0.000000   -14.0000   1    1     2.0000    4.0000   -1.0000   -3.0000
L02      0.100000   -13.2000   1    1     2.0000    4.0000   -0.8000   -2.9000
L03      0.500000   -10.0000   1    1     2.0000    4.0000    0.0000   -2.5000
L04      0.900000    -6.8000   1    1     2.0000    4.0000    0.8000   -2.1000
L05      1.000000    -6.0000   1    1     2.0000    4.0000    1.0000   -2.0000
L06      1.100000    -5.7000   1    1     0.0000    3.0000    1.2000   -1.9000
L07      1.500000    -4.5000   1    1     0.0000    3.0000    2.0000   -1.5000
L08      1.900000    -3.3000   1    1     0.0000    3.0000    2.8000   -1.1000
L09      2.000000    -3.0000   1    1     0.0000    3.0000    3.0000   -1.0000
L10      2.100000    -2.7000   1    1     0.0000    3.0000    3.2000   -0.9000
L11      2.500000    -1.5000   1    1     0.0000    3.0000    4.0000   -0.5000
L12      2.900000    -0.3000   1    1     0.0000    3.0000    4.8000   -0.1000
L13      3.000000     0.0000   1    1     0.0000    0.0000    5.0000    0.0000
L14      3.100000     0.0000   1    1     0.0000    0.0000    5.2000    0.1000
L15      3.500000     0.0000   1    1     0.0000    0.0000    6.0000    0.5000
L16      3.900000     0.0000   1    1     0.0000    0.0000    6.8000    0.9000
L17      4.000000     0.0000   1    1     0.0000    0.0000    7.0000    1.0000
L18      4.100000     0.0000   1    1     0.0000    0.0000    7.2000    1.1000
L19      4.500000     0.0000   1    1     0.0000    0.0000    8.0000    1.5000
L20      4.900000     0.0000   1    1     0.0000    0.0000    8.8000    1.9000
L21      5.000000     0.0000   1    1     0.0000    0.0000    9.0000    2.0000
L22      5.100000     0.0000   1    1     0.0000    0.0000    9.2000    2.1000
L23      5.500000     0.0000   1    1     0.0000    0.0000   10.0000    2.5000
L24      5.900000     0.0000   1    1     0.0000    0.0000   10.8000    2.9000
L25      6.000000     0.0000   1    1     0.0000    0.0000   11.0000    3.0000
L26      6.100000     0.0000   1    1     0.0000    0.0000   11.2000    3.1000
L27      6.500000     0.0000   1    1     0.0000    0.0000   12.0000    3.5000
L28      6.900000     0.0000   1    1     0.0000    0.0000   12.8000    3.9000
L29      7.000000     0.0000   1    1     0.0000    0.0000   13.0000    4.0000

Pertubation of the Right-hand-side Vector:
----------------------------------
Scen.:   Lambda:   Obj.f:    Type Sol?     X(1):     X(2):     b(1):    b(2):
L01      0.000000   -14.0000   1    1     2.0000    4.0000    6.0000    6.0000
L02      0.100000   -13.9000   1    1     1.9000    4.0000    5.9000    6.1000
L03      0.500000   -13.5000   1    1     1.5000    4.0000    5.5000    6.5000
L04      0.900000   -13.1000   1    1     1.1000    4.0000    5.1000    6.9000
L05      1.000000   -13.0000   1    1     1.0000    4.0000    5.0000    7.0000
L06      1.100000   -12.9000   1    1     0.9000    4.0000    4.9000    7.1000
L07      1.500000   -12.5000   1    1     0.5000    4.0000    4.5000    7.5000
L08      1.900000   -12.1000   1    1     0.1000    4.0000    4.1000    7.9000
L09      2.000000   -12.0000   1    1     0.0000    4.0000    4.0000    8.0000
L10      2.100000   -11.7000   1    1     0.0000    3.9000    3.9000    8.1000
L11      2.500000   -10.5000   1    1     0.0000    3.5000    3.5000    8.5000
L12      2.900000    -9.3000   1    1     0.0000    3.1000    3.1000    8.9000
L13      3.000000    -9.0000   1    1     0.0000    3.0000    3.0000    9.0000
L14      3.100000    -8.7000   1    1     0.0000    2.9000    2.9000    9.1000
L15      3.500000    -7.5000   1    1     0.0000    2.5000    2.5000    9.5000
L16      3.900000    -6.3000   1    1     0.0000    2.1000    2.1000    9.9000
L17      4.000000    -6.0000   1    1     0.0000    2.0000    2.0000   10.0000
L18      4.100000    -5.7000   1    1     0.0000    1.9000    1.9000   10.1000
L19      4.500000    -4.5000   1    1     0.0000    1.5000    1.5000   10.5000
L20      4.900000    -3.3000   1    1     0.0000    1.1000    1.1000   10.9000
L21      5.000000    -3.0000   1    1     0.0000    1.0000    1.0000   11.0000
L22      5.100000    -2.7000   1    1     0.0000    0.9000    0.9000   11.1000
L23      5.500000    -1.5000   1    1     0.0000    0.5000    0.5000   11.5000
L24      5.900000    -0.3000   1    1     0.0000    0.1000    0.1000   11.9000
L25      6.000000     0.0000   1    1     0.0000    0.0000    0.0000   12.0000
L26      6.100000     0.1000   4    1     0.0000   -0.1000   -0.1000   12.1000
L27      6.500000     0.5000   4    1     0.0000   -0.5000   -0.5000   12.5000
L28      6.900000     0.9000   4    1     0.0000   -0.9000   -0.9000   12.9000
L29      7.000000     1.0000   4    1     0.0000   -1.0000   -1.0000   13.0000
